time,pdcsap_flux
1442.4341782305244,1561.6584
1442.4355671130816,1568.9094
1442.4369559956683,1568.4908
1442.4383448782548,1571.1227
1442.4397337608114,1576.2269
1442.4411226433976,1543.109
1442.4425115259555,1548.3801
1442.4439004085418,1562.999
1442.4452892911274,1568.8362
1442.4466781736846,1567.4355
1442.4480670562716,1560.4653
1442.4494559388288,1559.3734
1442.450844821415,1568.6016
1442.4522337039723,1558.3848
1442.453622586558,1553.8301
1442.4550114691442,1555.5358
1442.456400351702,1552.9711
1442.4577892342884,1551.5287
1442.459178116845,1577.3016
1442.4605669994312,1570.9208
1442.461955881989,1560.6134
1442.4633447645754,1555.48
1442.464733647161,1557.8351
1442.4661225297189,1558.8065
1442.4675114123058,1574.2712
1442.4689002948624,1562.9664
1442.470289177448,1554.478
1442.4716780600058,1560.3829
1442.4730669425928,1554.8776
1442.4744558251784,1562.1757
1442.4758447077356,1563.9841
1442.4772335903217,1566.777
1442.478622472879,1557.9375
1442.4800113554652,1552.3202
1442.4814002380224,1553.0649
1442.482789120609,1546.5663
1442.484178003195,1560.5933
1442.4855668857522,1568.4703
1442.4869557683385,1568.6984
1442.4883446508957,1560.2534
1442.489733533482,1547.5516
1442.4911224160398,1566.0085
1442.492511298626,1560.7153
1442.4939001811829,1557.0006
1442.495289063769,1545.8301
1442.496677946356,1559.0588
1442.4980668289131,1561.1929
1442.4994557114987,1563.269
1442.500844594056,1558.4932
1442.502233476643,1555.7874
1442.5036223592,1562.4254
1442.5050112417855,1555.693
1442.506400124343,1554.0925
1442.50778900693,1564.8059
1442.509177889487,1557.4081
1442.5105667720727,1556.1266
1442.511955654659,1545.8425
1442.5133445372169,1562.8376
1442.5147334198032,1550.755
1442.5161223023597,1561.625
1442.517511184946,1563.6846
1442.518900067504,1570.7561
1442.5202889500902,1569.4015
1442.5216778326474,1557.7352
1442.5230667152337,1565.1362
1442.5244555977908,1563.6449
1442.5258444803771,1561.2623
1442.5272333629343,1554.8662
1442.5286222455206,1570.3212
1442.5300111280778,1566.6195
1442.5314000106648,1569.6454
1442.532788893222,1564.2062
1442.5341777758076,1577.1613
1442.5355666583932,1587.8318
1442.536955540951,1579.2378
1442.538344423538,1573.033
1442.5397333060946,1572.3845
1442.5411221886802,1575.9805
1442.542511071238,1570.0109
1442.543899953825,1567.646
1442.5452888363814,1565.2833
1442.5466777189677,1569.6545
1442.5480666015255,1559.6835
1442.5494554841118,1559.3676
1442.5508443666683,1594.7461
1442.5522332492546,1574.4061
1442.5536221318123,1567.3088
1442.5550110143988,1576.2566
1442.556399896955,1574.7529
1442.5577887795416,1575.0697
1442.5591776620995,1575.3789
1442.5605665446858,1568.0427
1442.561955427243,1567.6805
1442.5633443098293,1578.2872
1442.5647331923858,1569.5963
1442.566122074972,1570.2681
1442.56751095753,1567.2808
1442.5688998401165,1584.2418
1442.5702887226728,1576.1093
1442.571677605259,1570.1145
1442.573066487817,1576.2263
1442.5744553704033,1586.1584
1442.5758442529598,1580.6399
1442.5772331355467,1572.7886
1442.5786220181046,1556.0842
1442.5800109006902,1569.584
1442.5813997832468,1562.6365
1442.5827886658335,1581.2688
1442.5841775483916,1551.2936
1442.585566430948,1568.2479
1442.5869553135344,1587.4938
1442.5883441960923,1561.4115
1442.5897330786786,1571.5842
1442.591121961235,1561.1476
1442.5925108438214,1548.171
1442.5938997263786,1566.4072
1442.595288608965,1563.7891
1442.596677491522,1563.8975
1442.5980663741084,1575.5963
1442.5994552566656,1580.2662
1442.600844139252,1566.0028
1442.6022330218098,1564.3113
1442.603621904396,1562.572
1442.6050107869526,1568.0424
1442.6063996695098,1568.3513
1442.6077885520967,1564.636
1442.6091774346537,1575.1963
1442.610566317239,1568.0308
1442.6119551997965,1571.524
1442.6133440823835,1572.1472
1442.614732964941,1572.968
1442.6161218475263,1575.0345
1442.6175107300842,1565.83
1442.618899612642,1568.2142
1442.6202884952277,1566.5931
1442.6216773777842,1558.3458
1442.6230662603705,1560.4346
1442.6244551429284,1571.6089
1442.6258440255149,1567.4675
1442.6272329080712,1566.8083
1442.6286217906577,1555.1417
1442.630010673215,1542.9347
1442.6313995557723,1554.7239
1442.6327884383588,1555.8668
1442.634177320916,1551.8533
1442.6355662035023,1560.3103
1442.6369550860595,1573.566
1442.6383439686458,1562.132
1442.639732851203,1558.7413
1442.6411217337602,1560.4423
1442.6425106163472,1551.3918
1442.6438994989044,1561.0146
1442.64528838149,1552.7163
1442.6466772640472,1556.6426
1442.648066146605,1566.3701
1442.6494550291914,1554.1476
1442.650843911748,1555.1981
1442.6522327943337,1558.2642
1442.6536216768914,1571.1316
1442.6550105594492,1558.619
1442.6563994420349,1564.4708
1442.657788324592,1564.5649
1442.659177207179,1554.469
1442.6605660897362,1558.8634
1442.6619549722927,1566.5377
1442.663343854879,1567.5048
